choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,count
1,2,3,5,4,9,8,7,6,2
1,2,3,5,4,9,8,6,7,3
1,2,3,5,4,9,6,8,7,7
1,2,3,5,6,4,7,8,9,9
1,2,3,5,6,4,7,9,8,1
1,2,3,5,6,4,8,7,9,3
1,2,3,5,6,4,8,9,7,2
1,2,3,5,6,4,9,7,8,1
1,2,3,5,6,7,4,8,9,5
1,2,3,5,6,7,4,9,8,1
1,2,3,5,6,7,8,9,4,3
1,2,3,5,6,7,9,8,4,8
1,2,3,5,6,7,9,4,8,14
1,2,3,5,7,6,4,9,8,3
1,2,3,5,7,6,8,9,4,2
1,2,3,5,7,6,9,8,4,3
1,2,3,5,7,6,9,4,8,2
1,2,3,5,7,4,8,6,9,8
1,2,3,5,7,4,8,9,6,1
1,2,3,5,7,4,9,8,6,1
1,2,3,5,7,8,4,6,9,7
1,2,3,5,7,8,4,9,6,1
1,2,3,5,7,8,6,9,4,2
1,2,3,5,7,8,9,6,4,1
1,2,3,5,7,9,4,8,6,7
1,2,3,5,7,9,4,6,8,24
1,2,3,5,7,9,8,4,6,2
1,2,3,5,7,9,8,6,4,11
1,2,3,5,7,9,6,8,4,7
1,2,3,5,7,9,6,4,8,6
1,2,3,5,8,6,7,4,9,1
1,2,3,5,8,7,4,6,9,1
1,2,3,5,8,7,4,9,6,4
1,2,3,5,8,4,7,9,6,1
1,2,3,5,8,4,6,7,9,1
1,2,3,5,8,4,6,9,7,4
1,2,3,5,8,9,7,4,6,1
1,2,3,5,8,9,6,4,7,1
1,2,3,5,9,6,8,7,4,1
1,2,3,5,9,7,6,8,4,2
1,2,3,5,9,7,6,4,8,1
1,2,3,5,9,4,8,7,6,2
1,2,3,6,5,4,7,8,9,3
1,2,3,6,5,4,7,9,8,3
1,2,3,6,5,4,8,7,9,3
1,2,3,6,5,4,8,9,7,3
1,2,3,6,5,4,9,8,7,1
1,2,3,6,5,4,9,7,8,2
1,2,3,6,5,7,4,8,9,1
1,2,3,6,5,7,4,9,8,1
1,2,3,6,5,7,8,4,9,1
1,2,3,6,5,7,8,9,4,10
1,2,3,6,5,7,9,8,4,3
1,2,3,6,5,8,7,9,4,3
1,2,3,6,5,8,4,7,9,1
1,2,3,6,5,8,9,4,7,2
1,2,3,6,5,9,7,8,4,1
1,2,3,6,5,9,7,4,8,1
1,2,3,6,5,9,8,7,4,3
1,2,3,6,5,9,8,4,7,2
1,2,3,6,5,9,4,8,7,6
1,2,3,6,5,9,4,7,8,7
1,2,3,6,4,5,7,8,9,3
1,2,3,6,4,5,7,9,8,24
1,2,3,6,4,5,8,7,9,4
1,2,3,6,4,5,8,9,7,4
1,2,3,6,4,5,9,8,7,11
1,2,3,6,4,5,9,7,8,1
1,2,3,6,4,7,5,9,8,3
1,2,3,6,4,7,8,5,9,4
1,2,3,6,4,7,8,9,5,4
1,2,3,6,4,7,9,8,5,14
1,2,3,6,4,7,9,5,8,4
1,2,3,6,4,8,7,5,9,1
1,2,3,6,4,8,7,9,5,8
1,2,3,6,4,8,5,7,9,1
1,2,3,6,4,8,5,9,7,4
1,2,3,6,4,8,9,5,7,1
1,2,3,6,4,9,7,8,5,3
1,2,3,6,4,9,8,7,5,4
1,2,3,6,4,9,8,5,7,18
1,2,3,6,4,9,5,8,7,6
1,2,3,6,4,9,5,7,8,6
1,2,3,6,7,4,5,8,9,3
1,2,3,6,7,4,8,5,9,2
1,2,3,6,7,4,8,9,5,4
1,2,3,6,7,4,9,5,8,2
1,2,3,6,7,5,4,8,9,2
1,2,3,6,7,5,4,9,8,2
1,2,3,6,7,5,8,4,9,7
1,2,3,6,7,5,8,9,4,3
1,2,3,6,7,5,9,8,4,3
1,2,3,6,7,8,5,9,4,2
1,2,3,6,7,8,4,5,9,1
1,2,3,6,7,8,4,9,5,4
1,2,3,6,7,8,9,4,5,2
1,2,3,6,7,8,9,5,4,6
1,2,3,6,7,9,5,4,8,2
1,2,3,6,7,9,8,4,5,3
1,2,3,6,7,9,4,8,5,1
1,2,3,6,8,4,7,5,9,1
1,2,3,6,8,4,5,7,9,1
1,2,3,6,8,7,5,4,9,7
1,2,3,6,8,7,5,9,4,1
1,2,3,6,8,7,9,5,4,3
1,2,3,6,8,7,9,4,5,2
1,2,3,6,8,9,7,5,4,36
1,2,3,6,8,9,7,4,5,14
1,2,3,6,8,9,5,7,4,7
1,2,3,6,8,9,5,4,7,5
1,2,3,6,8,9,4,7,5,13
1,2,3,6,9,4,7,8,5,3
1,2,3,6,9,4,7,5,8,1
1,2,3,6,9,4,5,8,7,1
1,2,3,6,9,4,5,7,8,1
1,2,3,6,9,5,7,8,4,1
1,2,3,6,9,5,4,8,7,1
1,2,3,7,5,6,4,8,9,1
1,2,3,7,5,6,8,4,9,1
1,2,3,7,5,6,9,4,8,4
1,2,3,7,5,4,6,9,8,1
1,2,3,7,5,4,9,6,8,1
1,2,3,7,5,8,6,4,9,1
1,2,3,7,5,9,6,4,8,2
1,2,3,7,6,4,5,9,8,3
1,2,3,7,6,4,8,5,9,1
1,2,3,7,4,9,8,5,6,1
1,2,3,7,8,9,5,6,4,1
1,2,3,7,9,6,8,5,4,2
1,2,3,7,9,6,5,8,4,1
1,2,3,7,9,5,4,8,6,2
1,2,3,7,9,5,8,4,6,1
1,2,3,7,9,5,8,6,4,1
1,2,3,8,5,4,9,7,6,1
1,2,3,8,7,6,9,4,5,1
1,2,3,8,7,5,6,4,9,1
1,2,3,8,7,5,4,9,6,1
1,2,3,8,7,5,9,6,4,1
1,2,3,8,7,4,9,6,5,2
1,2,3,8,4,6,5,7,9,1
1,2,3,8,4,6,5,9,7,1
1,2,3,8,4,6,9,5,7,2
1,2,3,8,4,7,6,5,9,1
1,2,3,8,4,7,6,9,5,2
1,2,3,8,4,5,9,6,7,1
1,2,3,8,4,9,7,5,6,2
1,2,3,8,4,9,7,6,5,1
1,2,3,8,4,9,6,7,5,1
1,2,3,8,9,6,4,7,5,2
1,2,3,8,9,6,4,5,7,1
1,2,3,8,9,6,5,7,4,2
1,2,3,8,9,7,6,4,5,2
1,2,3,8,9,7,6,5,4,2
1,2,3,8,9,7,4,5,6,5
1,2,3,8,9,7,5,4,6,2
1,2,3,8,9,4,7,5,6,1
1,2,3,8,9,4,6,7,5,1
1,2,3,8,9,4,5,6,7,1
1,2,3,8,9,5,6,7,4,5
1,2,3,9,5,6,7,8,4,3
1,2,3,9,5,6,7,4,8,2
1,2,3,9,5,6,8,7,4,4
1,2,3,9,5,7,6,8,4,1
1,2,3,9,5,7,6,4,8,3
1,2,3,9,5,7,8,6,4,2
1,2,3,9,5,7,4,8,6,3
1,2,3,9,5,8,7,6,4,37
1,2,3,9,5,8,7,4,6,2
1,2,3,9,5,8,6,7,4,6
1,2,3,9,5,8,6,4,7,17
1,2,3,9,5,8,4,6,7,1
1,2,3,9,5,4,7,8,6,2
1,2,3,9,5,4,7,6,8,4
1,2,3,9,5,4,8,6,7,11
1,2,3,9,5,4,6,8,7,1
1,2,3,9,5,4,6,7,8,4
1,2,3,9,6,5,7,4,8,1
1,2,3,9,6,5,8,7,4,1
1,2,3,9,6,5,8,4,7,1
1,2,3,9,6,7,4,5,8,1
1,2,3,9,6,8,7,5,4,3
1,2,3,9,6,8,5,7,4,1
1,2,3,9,6,8,4,5,7,11
1,2,3,9,6,8,4,7,5,2
1,2,3,9,6,4,7,8,5,1
1,2,3,9,8,6,7,5,4,3
1,2,3,9,8,6,5,7,4,4
1,2,3,9,8,6,5,4,7,3
1,2,3,9,8,6,4,5,7,4
1,2,3,9,8,6,4,7,5,8
1,2,3,9,8,7,6,5,4,3
1,2,3,9,8,7,5,6,4,3
1,2,3,9,8,7,5,4,6,7
1,2,3,9,8,7,4,5,6,28
1,2,3,9,8,7,4,6,5,91
1,2,3,9,8,5,7,6,4,9
1,2,3,9,8,5,7,4,6,12
1,2,3,9,8,5,6,7,4,6
1,2,3,9,8,5,4,6,7,7
1,2,3,9,8,5,4,7,6,4
1,2,3,9,8,4,7,5,6,1
1,2,3,9,8,4,5,7,6,2
1,2,3,9,8,4,6,7,5,7
1,2,3,9,4,6,7,8,5,7
1,2,3,9,4,6,7,5,8,10
1,2,3,9,4,6,8,7,5,7
1,2,3,9,4,6,8,5,7,5
1,2,3,9,4,6,5,7,8,7
1,2,3,9,4,7,6,5,8,5
1,2,3,9,4,7,8,6,5,1
1,2,3,9,4,7,5,8,6,4
1,2,3,9,4,7,5,6,8,7
1,2,3,9,4,8,7,6,5,31
1,2,3,9,4,8,7,5,6,1
1,2,3,9,4,8,6,7,5,5
1,2,3,9,4,8,6,5,7,1
1,2,3,9,4,8,5,6,7,5
1,2,3,9,4,8,5,7,6,23
1,2,3,9,4,5,7,8,6,1
1,2,3,9,4,5,7,6,8,2
1,2,3,9,4,5,8,7,6,2
1,2,3,9,4,5,8,6,7,1
1,2,3,9,4,5,6,7,8,1
1,2,4,3,5,7,6,8,9,1
1,2,4,3,5,7,9,8,6,2
1,2,4,3,5,7,9,6,8,1
1,2,4,3,5,8,6,9,7,1
1,2,4,3,6,5,7,8,9,2
1,2,4,3,6,7,5,8,9,5
1,2,4,3,6,7,5,9,8,1
1,2,4,3,6,7,8,9,5,2
1,2,4,3,7,6,5,8,9,1
1,2,4,3,7,9,5,8,6,1
1,2,4,3,8,6,7,5,9,1
1,2,4,3,8,7,6,5,9,1
1,2,4,3,8,7,5,9,6,1
1,2,4,3,9,7,5,6,8,1
1,2,4,5,3,9,6,8,7,1
1,2,4,5,6,8,3,7,9,1
1,2,4,5,7,6,3,9,8,2
1,2,4,5,7,3,6,9,8,2
1,2,4,5,7,8,3,9,6,1
1,2,4,5,7,9,3,8,6,1
1,2,4,5,7,9,6,8,3,2
1,2,4,5,7,9,6,3,8,2
1,2,4,5,8,6,3,9,7,1
1,2,4,5,8,7,6,3,9,1
1,2,4,5,8,7,9,3,6,1
1,2,4,5,8,3,6,7,9,1
1,2,4,5,8,3,9,7,6,2
1,2,4,5,8,9,6,7,3,1
1,2,4,6,5,3,9,8,7,1
1,2,4,6,5,9,7,8,3,1
1,2,4,6,5,9,3,8,7,2
1,2,4,6,3,5,7,8,9,3
1,2,4,6,3,5,8,9,7,2
1,2,4,6,3,5,9,8,7,1
1,2,4,6,3,7,8,5,9,1
1,2,4,6,3,7,8,9,5,1
1,2,4,6,3,7,9,8,5,2
1,2,4,6,3,8,5,9,7,1
1,2,4,6,3,8,9,5,7,4
1,2,4,6,3,8,9,7,5,2
1,2,4,6,3,9,8,7,5,1
1,2,4,6,3,9,8,5,7,1
1,2,4,6,7,8,5,9,3,1
1,2,4,6,7,8,9,3,5,1
1,2,4,6,7,8,9,5,3,2
1,2,4,6,7,9,3,5,8,2
1,2,4,6,9,7,3,5,8,1
1,2,4,6,9,5,3,8,7,1
1,2,4,7,5,6,8,9,3,1
1,2,4,7,6,5,3,9,8,6
1,2,4,7,6,5,8,9,3,1
1,2,4,7,6,5,9,8,3,3
1,2,4,7,6,5,9,3,8,3
1,2,4,7,6,3,8,5,9,2
1,2,4,7,6,3,9,5,8,18
1,2,4,7,6,8,3,5,9,6
1,2,4,7,6,8,3,9,5,8
1,2,4,7,6,8,5,3,9,1
1,2,4,7,6,8,5,9,3,4
1,2,4,7,6,9,3,8,5,1
1,2,4,7,3,5,8,9,6,2
1,2,4,7,3,9,5,8,6,1
1,2,4,7,3,9,5,6,8,1
1,2,4,7,3,9,8,6,5,1
1,2,4,7,8,6,9,5,3,1
1,2,4,7,8,3,5,9,6,2
1,2,4,7,9,3,6,8,5,18
1,2,4,7,9,3,8,6,5,2
1,2,4,7,9,3,8,5,6,3
1,2,4,7,9,8,3,6,5,3
1,2,4,7,9,8,5,3,6,3
1,2,4,7,9,5,3,8,6,2
1,2,4,7,9,5,8,3,6,3
1,2,4,8,5,3,6,9,7,1
1,2,4,8,5,9,7,3,6,1
1,2,4,8,5,9,3,7,6,2
1,2,4,8,5,9,6,3,7,2
1,2,4,8,6,7,9,3,5,1
1,2,4,8,6,9,5,3,7,4
1,2,4,8,6,9,5,7,3,2
1,2,4,8,7,6,3,9,5,1
1,2,4,8,7,5,6,3,9,1
1,2,4,8,7,9,3,6,5,1
1,2,4,8,3,7,9,6,5,2
1,2,4,8,3,5,6,7,9,1
1,2,4,8,3,5,6,9,7,1
1,2,4,8,3,5,9,6,7,1
1,2,4,8,3,9,7,5,6,1
1,2,4,8,3,9,7,6,5,1
1,2,4,8,9,6,3,5,7,1
1,2,4,8,9,3,6,7,5,1
1,2,4,8,9,3,5,6,7,1
1,2,4,8,9,5,7,3,6,1
1,2,4,9,5,6,7,8,3,2
1,2,4,9,5,6,7,3,8,1
1,2,4,9,5,6,8,7,3,1
1,2,4,9,5,6,8,3,7,3
1,2,4,9,5,6,3,7,8,1
1,2,4,9,5,7,6,8,3,2
1,2,4,9,5,7,6,3,8,1
1,2,4,9,5,7,3,8,6,1
1,2,4,9,5,8,7,6,3,3
1,2,4,9,5,8,7,3,6,3
1,2,4,9,5,3,8,7,6,1
1,2,4,9,5,3,8,6,7,2
1,2,4,9,6,7,3,8,5,2
1,2,4,9,6,7,3,5,8,1
1,2,4,9,6,3,8,7,5,1
1,2,4,9,7,6,5,3,8,2
1,2,4,9,7,6,8,5,3,5
1,2,4,9,7,6,3,8,5,2
1,2,4,9,7,6,3,5,8,7
1,2,4,9,7,5,6,8,3,2
1,2,4,9,7,5,3,8,6,1
1,2,4,9,7,8,5,6,3,2
1,2,4,9,7,8,5,3,6,1
1,2,4,9,7,8,3,6,5,1
1,2,4,9,7,3,8,6,5,1
1,2,4,9,8,6,5,3,7,1
1,2,4,9,8,7,6,5,3,1
1,2,4,9,8,5,7,3,6,2
1,2,4,9,8,3,5,7,6,2
1,2,4,9,3,6,8,7,5,3
1,2,4,9,3,6,8,5,7,2
1,2,4,9,3,7,6,8,5,6
1,2,4,9,3,7,6,5,8,11
1,2,4,9,3,7,8,6,5,27
1,2,4,9,3,7,8,5,6,3
1,2,4,9,3,7,5,6,8,1
1,2,4,9,3,8,7,5,6,1
1,2,4,9,3,8,6,7,5,6
1,2,4,9,3,8,5,7,6,2
1,2,4,9,3,5,8,6,7,5
1,2,4,9,3,5,6,8,7,1
1,2,5,3,9,4,7,6,8,1
1,2,5,6,7,3,8,9,4,2
1,2,5,6,7,3,9,8,4,2
1,2,5,6,7,3,9,4,8,1
1,2,5,6,7,8,4,3,9,1
1,2,5,6,7,9,8,4,3,1
1,2,5,6,7,9,4,3,8,1
1,2,5,6,8,7,9,3,4,1
1,2,5,6,8,9,7,3,4,2
1,2,5,7,9,4,6,8,3,2
1,2,5,7,9,4,6,3,8,1
1,2,5,7,9,8,4,3,6,1
1,2,5,7,9,3,8,6,4,2
1,2,5,9,3,7,4,8,6,2
1,2,5,9,3,8,7,6,4,5
1,2,5,9,3,8,7,4,6,1
1,2,5,9,3,8,6,7,4,1
1,2,5,9,3,8,6,4,7,3
1,2,5,9,3,8,4,6,7,1
1,2,5,9,3,8,4,7,6,1
1,2,5,9,3,4,6,8,7,1
1,2,5,9,6,8,4,3,7,1
1,2,5,9,7,6,8,4,3,1
1,2,5,9,7,3,8,6,4,2
1,2,5,9,7,8,6,3,4,1
1,2,5,9,8,3,6,7,4,1
1,2,5,9,4,6,7,8,3,1
1,2,5,9,4,6,7,3,8,1
1,2,5,9,4,6,8,3,7,2
1,2,5,9,4,6,3,8,7,2
1,2,5,9,4,7,6,8,3,1
1,2,5,9,4,7,6,3,8,1
1,2,5,9,4,3,8,6,7,2
1,2,5,9,4,3,6,8,7,2
1,2,6,4,5,3,8,9,7,1
1,2,6,4,5,3,9,8,7,1
1,2,6,4,5,3,9,7,8,2
1,2,6,4,5,7,3,8,9,17
1,2,6,4,5,7,3,9,8,3
1,2,6,4,5,7,8,3,9,1
1,2,6,4,5,7,8,9,3,2
1,2,6,4,5,7,9,8,3,1
1,2,6,4,5,9,8,7,3,1
1,2,6,4,5,9,8,3,7,3
1,2,6,4,5,9,3,8,7,11
1,2,6,4,5,9,3,7,8,9
1,2,6,4,3,5,7,8,9,1
1,2,6,4,3,5,7,9,8,1
1,2,6,4,3,5,8,9,7,1
1,2,6,4,3,5,9,7,8,1
1,2,6,4,3,8,7,5,9,4
1,2,6,4,3,8,7,9,5,1
1,2,6,4,3,8,5,7,9,1
1,2,6,4,3,8,9,5,7,2
1,2,6,4,7,5,3,8,9,1
1,2,6,4,7,8,5,9,3,1
1,2,6,4,8,3,7,5,9,1
1,2,6,4,8,3,5,7,9,2
1,2,6,4,8,3,9,5,7,2
1,2,6,4,8,3,9,7,5,7
1,2,6,4,8,7,9,3,5,1
1,2,6,4,8,5,7,9,3,2
1,2,6,4,8,9,7,5,3,1
1,2,6,4,8,9,7,3,5,5
1,2,6,4,8,9,5,3,7,1
1,2,6,4,9,8,5,3,7,1
1,2,6,4,9,5,7,3,8,1
1,2,6,5,4,3,7,8,9,1
1,2,6,5,4,3,9,7,8,1
1,2,6,5,4,7,8,3,9,1
1,2,6,5,4,8,3,9,7,3
1,2,6,5,4,8,9,7,3,1
1,2,6,5,4,9,7,8,3,2
1,2,6,5,4,9,7,3,8,2
1,2,6,5,3,4,7,8,9,1
1,2,6,5,3,7,8,4,9,1
1,2,6,5,3,9,7,8,4,1
1,2,6,5,3,9,4,7,8,2
1,2,6,5,7,3,4,8,9,1
1,2,6,5,7,3,8,4,9,1
1,2,6,5,7,4,3,8,9,1
1,2,6,5,7,4,3,9,8,1
1,2,6,5,7,4,8,3,9,1
1,2,6,5,7,4,8,9,3,1
1,2,6,5,7,8,4,9,3,1
1,2,6,5,7,8,3,4,9,1
1,2,6,5,7,9,8,3,4,1
1,2,6,5,8,4,7,3,9,2
1,2,6,5,8,4,3,9,7,1
1,2,6,5,8,9,3,4,7,1
1,2,6,5,9,7,3,4,8,1
1,2,6,3,5,4,8,9,7,1
1,2,6,3,5,4,9,7,8,1
1,2,6,3,5,7,4,8,9,10
1,2,6,3,5,7,4,9,8,1
1,2,6,3,5,7,8,4,9,7
1,2,6,3,5,7,8,9,4,1
1,2,6,3,5,7,9,8,4,4
1,2,6,3,5,7,9,4,8,2
1,2,6,3,5,8,7,9,4,1
1,2,6,3,5,8,4,7,9,1
1,2,6,3,5,9,7,8,4,2
1,2,6,3,5,9,7,4,8,2
1,2,6,3,5,9,8,7,4,5
1,2,6,3,5,9,8,4,7,1
1,2,6,3,5,9,4,7,8,16
1,2,6,3,4,5,7,9,8,3
1,2,6,3,4,5,9,7,8,1
1,2,6,3,4,7,8,5,9,7
1,2,6,3,4,7,8,9,5,8
1,2,6,3,4,8,5,7,9,3
1,2,6,3,4,8,5,9,7,8
1,2,6,3,4,8,9,7,5,2
1,2,6,3,4,9,7,5,8,1
1,2,6,3,4,9,8,7,5,6
1,2,6,3,4,9,8,5,7,1
1,2,6,3,4,9,5,8,7,1
1,2,6,3,7,4,5,8,9,4
1,2,6,3,7,5,4,8,9,2
1,2,6,3,7,5,4,9,8,5
1,2,6,3,7,5,9,4,8,1
1,2,6,3,7,8,5,4,9,1
1,2,6,3,7,8,5,9,4,1
1,2,6,3,7,8,4,5,9,3
1,2,6,3,7,8,9,4,5,1
1,2,6,3,7,8,9,5,4,1
1,2,6,3,7,9,5,8,4,1
1,2,6,3,9,4,7,8,5,1
1,2,6,3,9,4,5,7,8,1
1,2,6,3,9,7,4,5,8,1
1,2,6,3,9,7,8,5,4,1
1,2,6,3,9,7,5,8,4,1
1,2,6,3,9,5,8,4,7,1
1,2,6,7,5,3,8,4,9,2
1,2,6,7,5,3,8,9,4,6
1,2,6,7,5,3,9,8,4,1
1,2,6,7,5,4,3,9,8,3
1,2,6,7,5,8,4,9,3,2
1,2,6,7,5,8,3,4,9,1
1,2,6,7,5,8,3,9,4,4
1,2,6,7,5,8,9,3,4,2
1,2,6,7,5,9,4,3,8,2
1,2,6,7,5,9,8,3,4,1
1,2,6,7,3,5,8,4,9,1
1,2,6,7,3,4,9,8,5,1
1,2,6,7,3,8,4,5,9,1
1,2,6,7,3,8,4,9,5,1
1,2,6,7,3,8,5,4,9,1
1,2,6,7,3,9,4,5,8,1
1,2,6,7,3,9,8,4,5,1
1,2,6,7,3,9,8,5,4,1
1,2,6,7,4,3,5,8,9,6
1,2,6,7,4,3,5,9,8,1
1,2,6,7,4,3,9,8,5,1
1,2,6,7,4,3,9,5,8,2
1,2,6,7,4,5,9,3,8,1
1,2,6,7,4,8,5,9,3,3
1,2,6,7,4,8,3,9,5,4
1,2,6,7,4,8,9,3,5,4
1,2,6,7,9,3,8,4,5,2
1,2,6,7,9,3,5,8,4,1
1,2,6,7,9,8,3,4,5,1
1,2,6,7,9,8,5,4,3,1
1,2,6,8,5,3,7,4,9,1
1,2,6,8,5,3,9,7,4,1
1,2,6,8,5,4,3,7,9,1
1,2,6,8,5,4,9,3,7,2
1,2,6,8,5,4,9,7,3,1
1,2,6,8,3,5,7,9,4,2
1,2,6,8,3,5,4,7,9,3
1,2,6,8,3,5,4,9,7,6
1,2,6,8,3,5,9,4,7,6
1,2,6,8,3,7,5,4,9,1
1,2,6,8,3,7,5,9,4,2
1,2,6,8,3,7,9,5,4,3
1,2,6,8,3,4,7,5,9,5
1,2,6,8,3,4,7,9,5,20
1,2,6,8,3,4,5,7,9,9
1,2,6,8,3,4,5,9,7,3
1,2,6,8,3,4,9,5,7,1
1,2,6,8,3,4,9,7,5,1
1,2,6,8,3,9,7,4,5,1
1,2,6,8,3,9,7,5,4,1
1,2,6,8,3,9,4,7,5,2
1,2,6,8,3,9,5,4,7,1
1,2,6,8,3,9,5,7,4,3
1,2,6,8,7,3,5,4,9,4
1,2,6,8,7,3,4,5,9,1
1,2,6,8,7,3,4,9,5,7
1,2,6,8,7,3,9,4,5,2
1,2,6,8,7,3,9,5,4,1
1,2,6,8,7,5,3,4,9,18
1,2,6,8,7,5,3,9,4,1
1,2,6,8,7,5,4,3,9,3
1,2,6,8,7,5,4,9,3,6
1,2,6,8,7,5,9,4,3,11
1,2,6,8,7,5,9,3,4,14
1,2,6,8,7,4,9,3,5,13
1,2,6,8,7,9,5,4,3,5
1,2,6,8,7,9,5,3,4,4
1,2,6,8,7,9,4,5,3,1
1,2,6,8,7,9,3,4,5,8
1,2,6,8,7,9,3,5,4,3
1,2,6,8,4,3,9,5,7,1
1,2,6,8,4,3,9,7,5,1
1,2,6,8,4,7,3,9,5,9
1,2,6,8,4,7,9,3,5,11
1,2,6,8,4,9,7,5,3,2
1,2,6,8,4,9,3,5,7,2
1,2,6,8,4,9,3,7,5,2
1,2,6,8,9,3,7,5,4,2
1,2,6,8,9,3,4,7,5,1
1,2,6,8,9,3,5,4,7,1
1,2,6,8,9,7,3,4,5,1
1,2,6,8,9,7,3,5,4,1
1,2,6,8,9,4,7,3,5,1
1,2,6,8,9,5,7,3,4,1
1,2,6,8,9,5,4,7,3,1
1,2,6,8,9,5,4,3,7,1
1,2,6,9,5,3,7,8,4,2
1,2,6,9,5,3,8,4,7,1
1,2,6,9,5,8,7,3,4,2
1,2,6,9,5,8,4,3,7,1
1,2,6,9,5,8,4,7,3,1
1,2,6,9,5,4,7,8,3,1
1,2,6,9,5,4,7,3,8,1
1,2,6,9,5,4,8,7,3,1
1,2,6,9,3,5,4,8,7,1
1,2,6,9,3,5,4,7,8,2
1,2,6,9,3,8,4,5,7,1
1,2,6,9,7,3,5,8,4,1
1,2,6,9,7,5,3,8,4,1
1,2,6,9,7,8,5,4,3,2
1,2,6,9,7,8,3,5,4,5
1,2,6,9,7,8,3,4,5,2
1,2,6,9,7,8,4,3,5,2
1,2,6,9,8,3,5,7,4,1
1,2,6,9,8,7,5,3,4,1
1,2,6,9,8,7,4,5,3,1
1,2,6,9,8,5,7,3,4,2
1,2,6,9,8,5,7,4,3,13
1,2,6,9,8,5,3,7,4,17
1,2,6,9,8,5,3,4,7,5
1,2,6,9,8,5,4,3,7,2
1,2,6,9,8,5,4,7,3,3
1,2,6,9,8,4,7,5,3,2
1,2,6,9,8,4,7,3,5,2
1,2,6,9,8,4,5,7,3,2
1,2,6,9,8,4,3,5,7,5
1,2,6,9,8,4,3,7,5,10
1,2,6,9,4,3,7,5,8,3
1,2,6,9,4,3,8,7,5,1
1,2,6,9,4,3,8,5,7,5
1,2,6,9,4,7,3,5,8,1
1,2,6,9,4,7,5,8,3,1
1,2,6,9,4,8,7,3,5,2
1,2,6,9,4,8,3,7,5,4
1,2,6,9,4,8,3,5,7,5
1,2,6,9,4,8,5,7,3,4
1,2,6,9,4,5,7,8,3,1
1,2,6,9,4,5,7,3,8,3
1,2,6,9,4,5,8,7,3,1
1,2,6,9,4,5,8,3,7,1
1,2,6,9,4,5,3,7,8,15
1,2,7,4,5,6,3,9,8,1
1,2,7,4,5,9,6,3,8,1
1,2,7,4,6,3,8,5,9,1
1,2,7,4,6,8,3,5,9,1
1,2,7,4,6,9,3,8,5,2
1,2,7,4,6,9,3,5,8,1
1,2,7,4,3,8,5,6,9,1
1,2,7,4,3,8,5,9,6,1
1,2,7,4,3,9,5,6,8,1
1,2,7,4,8,3,5,6,9,2
1,2,7,4,9,3,8,6,5,1
1,2,7,4,9,5,6,8,3,1
1,2,7,4,9,5,6,3,8,1
1,2,7,5,6,3,8,9,4,1
1,2,7,5,6,8,9,4,3,1
1,2,7,5,8,6,4,3,9,1
1,2,7,5,8,6,4,9,3,1
1,2,7,5,8,9,6,3,4,1
1,2,7,6,5,4,8,9,3,1
1,2,7,6,5,3,4,9,8,1
1,2,7,6,5,3,8,9,4,2
1,2,7,6,5,3,9,8,4,1
1,2,7,6,5,9,3,8,4,2
